trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
66,False,"{'a': 0.2, 'e': 0.5151371174238033}",20,0,-45.488992498915934,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
67,False,"{'a': 0.2, 'e': 0.5099857462495653}",20,0,-14.278195049223896,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
68,False,"{'a': 0.2, 'e': 0.5048858887870696}",20,13,4.9962020590474125,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.2, 'e': 0.4998370298991989}",20,12,-0.25406370350210383,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
70,False,"{'a': 0.2, 'e': 0.49483865960020695}",25,13,-0.82074541298011,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
71,False,"{'a': 0.2, 'e': 0.4898902730042049}",30,0,-74.25024127861518,"{0: 23, 1: 1, 2: 4, 3: 1, 4: 1}",0
72,False,"{'a': 0.2, 'e': 0.48499137027416284}",20,10,-72.62571294618404,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 2}",1
73,False,"{'a': 0.2, 'e': 0.4801414565714212}",25,0,-23.523995115250507,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
74,False,"{'a': 0.2, 'e': 0.475340042005707}",30,10,-58.36559141506389,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",1
75,False,"{'a': 0.2, 'e': 0.47058664158564995}",25,17,1.9099011640417378,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
76,False,"{'a': 0.2, 'e': 0.4658807751697934}",25,18,-69.92590186038063,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 2}",1
77,False,"{'a': 0.2, 'e': 0.4612219674180955}",20,0,-47.63111373801879,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
78,False,"{'a': 0.2, 'e': 0.45660974774391455}",30,0,-10.692481033773383,"{0: 26, 1: 1, 2: 2, 3: 1, 4: 0}",0
79,False,"{'a': 0.2, 'e': 0.4520436502664754}",30,0,-81.6897900624667,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 2}",0
80,False,"{'a': 0.2, 'e': 0.44752321376381066}",20,8,-42.516213269608635,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
81,False,"{'a': 0.2, 'e': 0.44304798162617254}",25,9,-6.240195775203721,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 0}",1
82,False,"{'a': 0.2, 'e': 0.4386175018099108}",25,0,-36.0964509742329,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
83,False,"{'a': 0.2, 'e': 0.4342313267918117}",25,1,-6.991631653424337,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 0}",1
84,False,"{'a': 0.2, 'e': 0.4298890135238936}",25,0,-63.85985168237804,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
85,False,"{'a': 0.2, 'e': 0.42559012338865465}",20,0,7.014045102151295,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
86,False,"{'a': 0.2, 'e': 0.4213342221547681}",25,13,7.563380091990599,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
87,False,"{'a': 0.2, 'e': 0.41712087993322045}",30,19,16.81851178544766,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.2, 'e': 0.41294967113388825}",20,0,-47.53750458466456,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
89,False,"{'a': 0.2, 'e': 0.40882017442254937}",20,0,4.131552626053681,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
90,False,"{'a': 0.2, 'e': 0.4047319726783239}",20,1,-94.99378683836818,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 3}",1
91,False,"{'a': 0.2, 'e': 0.40068465295154065}",25,0,-75.09596997871662,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
92,False,"{'a': 0.2, 'e': 0.39667780642202527}",20,0,-4.119651600660356,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
93,False,"{'a': 0.2, 'e': 0.392711028357805}",25,15,-20.26951411289789,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 0}",1
94,False,"{'a': 0.2, 'e': 0.38878391807422696}",20,0,-7.094162733563397,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
95,False,"{'a': 0.2, 'e': 0.3848960788934847}",35,11,-43.968801713332226,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 2}",1
96,False,"{'a': 0.2, 'e': 0.38104711810454983}",20,0,-26.442662513552147,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
97,False,"{'a': 0.2, 'e': 0.37723664692350434}",25,17,-37.404118880885875,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
98,False,"{'a': 0.2, 'e': 0.37346428045426927}",25,16,13.500824543457998,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.2, 'e': 0.36972963764972655}",25,15,-33.695700917899096,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
100,False,"{'a': 0.2, 'e': 0.36603234127322926}",25,0,-47.97282237218715,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
101,False,"{'a': 0.2, 'e': 0.36237201786049694}",20,0,-2.16285371324449,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
102,False,"{'a': 0.2, 'e': 0.358748297681892}",35,17,-35.025593798620974,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 0}",1
103,False,"{'a': 0.2, 'e': 0.35516081470507305}",20,12,-51.270830724436195,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 1}",1
104,False,"{'a': 0.2, 'e': 0.3516092065580223}",30,16,-85.09426074793843,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 2}",1
105,False,"{'a': 0.2, 'e': 0.34809311449244207}",25,16,3.7101508764031053,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 0.2, 'e': 0.34461218334751764}",25,17,15.636224999301785,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.2, 'e': 0.34116606151404244}",20,11,4.572107040366264,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 0.2, 'e': 0.337754400898902}",20,0,-51.000302615190904,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
109,False,"{'a': 0.2, 'e': 0.334376856889913}",30,7,-17.91875506995619,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 1}",1
110,False,"{'a': 0.2, 'e': 0.33103308832101386}",20,10,6.260582554875989,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
111,False,"{'a': 0.2, 'e': 0.3277227574378037}",20,3,-19.15829315416743,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 0}",1
112,False,"{'a': 0.2, 'e': 0.3244455298634257}",30,0,7.417677765972897,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",1
113,False,"{'a': 0.2, 'e': 0.3212010745647914}",20,8,13.736142465419457,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.2, 'e': 0.3179890638191435}",20,11,-20.063508941474474,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
115,False,"{'a': 0.2, 'e': 0.31480917318095203}",20,5,-14.046866560572965,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 0}",1
116,False,"{'a': 0.2, 'e': 0.3116610814491425}",20,0,-30.29304638858668,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
